0	0.14	0.14	0.318954
1	0.14	0.14	0.287913
2	1.36453	1.42558	0.21401
3	1.43639	0.736987	0.285922
4	1.43639	0.736987	0.337406
5	1.43639	0.736987	0.289577
6	1.43639	0.736987	0.320788
7	1.43639	0.736987	0.305769
8	2.18532	2.78526	0.230144
9	2.18532	2.78526	0.335398
10	1.60713	3.47046	0.250721
11	2.4948	3.11755	0.279028
12	1.76084	1.58891	0.310392
13	0.599053	0.532044	0.335888
14	0.599053	0.532044	0.312439
15	0.411312	1.78833	0.303369
16	0.411312	1.78833	0.293348
17	0.411312	1.78833	0.319611
18	0.794202	2.11717	0.249132
19	0.794202	2.11717	0.277666
20	0.794202	2.11717	0.303847
21	0.794202	2.11717	0.323555
22	1.01597	2.65515	0.28579
23	2.35348	2.79929	0.303332
24	4.6414	3.00087	0.337417
25	3.73961	3.56588	0.273607
26	3.73961	3.56588	0.239909
27	3.73961	3.56588	0.253379
28	3.73961	3.56588	0.298705
29	3.73961	3.56588	0.303015
30	2.86266	3.83882	0.276218
31	2.86266	3.83882	0.256028
32	4.13349	4.8624	0.301509
33	5.22565	5.94942	0.217049
34	5.22565	5.94942	0.23062
35	5.88477	6.1096	0.299733
36	5.88477	6.1096	0.293116
37	6.13022	7.64123	0.190157
38	6.63097	7.84899	0.245823
39	6.63097	7.84899	0.233025
40	8.41109	9.39781	0.313505
41	8.8767	8.58292	0.326021
42	9.33561	9.34063	0.252499
43	7.3184	10.4353	0.312891
44	7.3184	10.4353	0.246621
45	7.3184	10.4353	0.294699
46	7.3184	10.4353	0.325828
47	6.03107	10.8168	0.290925
48	6.03107	10.8168	0.306231
49	6.03107	10.8168	0.213469
50	6.03107	10.8168	0.281764
51	6.51308	11.1337	0.284675
52	5.97411	11.5255	0.247906
53	6.28634	12.6318	0.309172
54	6.28634	12.6318	0.244137
55	6.39438	12.2673	0.229518
56	3.88049	14.0394	0.255182
57	3.88049	14.0394	0.27437
58	3.88049	14.0394	0.292879
59	2.74209	13.9454	0.304466
60	2.74209	13.9454	0.307296
61	2.74209	13.9454	0.214484
62	2.48767	14.2976	0.328205
63	3.27243	14.5123	0.208308
64	3.27243	14.5123	0.268459
65	3.27243	14.5123	0.297595
66	4.67675	13.1754	0.301077
67	4.67675	13.1754	0.234516
68	4.67675	13.1754	0.247406
69	4.67675	13.1754	0.219272
70	4.67675	13.1754	0.306557
71	5.10428	13.1291	0.316852
72	5.10428	13.1291	0.275842
