0		0.01	1	0.348614	406	0	0	4.28861
0		0.01	1	0.347972	422	1	0	4.27292
0		0.01	1	0.347449	420	1	0	4.2662
0		0.01	1	0.132127	420	2	0.935	4.25291
0		0.01	1	0.148655	437	2	0.935	4.20861
0		0.01	1	0.161168	446	2	0.935	4.18494
0		0.01	1	0.364599	453	1	0	4.16203
0		0.01	1	0.385246	475	1	0	4.08774
0		0.01	1	0.430289	510	1	0	3.95467
0		0.01	1	0.412031	497	1	0	4.00057
0		0.01	1	0.413376	498	1	0	3.99672
0		0.01	1	0.427374	508	1	0	3.95805
0		0.01	1	0.451667	524	1	0	3.89596
0		0.01	1	0.464592	532	1	0	3.86496
0		0.01	1	0.481394	542	1	0	3.82639
0		0.01	1	0.464592	532	1	0	3.86496
0		0.01	1	0.509603	558	1	0	3.76526
0		0.01	1	0.474591	538	1	0	3.84179
0		0.01	1	0.491792	548	1	0	3.80337
0		0.01	1	0.372285	548	2	0.935	3.80823
0		0.01	1	0.299457	516	2	0.935	3.93157
0		0.01	1	0.326442	528	2	0.935	3.87975
0		0.01	1	0.32871	529	2	0.935	3.87588
0		0.01	1	0.407191	563	2	0.935	3.74568
0		0.01	1	0.418905	568	2	0.935	3.72686
0		0.01	1	0.3746	549	2	0.935	3.79887
0		0.01	1	0.379235	551	2	0.935	3.79123
0		0.01	1	0.351541	539	2	0.935	3.83725
0		0.01	1	0.379235	551	2	0.935	3.79123
0		0.01	1	0.444788	579	2	0.935	3.68584
0		0.01	1	0.4637	587	2	0.935	3.65635
0		0.01	1	0.470808	590	2	0.935	3.64537
0		0.01	1	0.4566	584	2	0.935	3.66738
0		0.01	1	0.430652	573	2	0.935	3.70815
0		0.01	1	0.451872	582	2	0.935	3.67475
0		0.01	1	0.466068	588	2	0.935	3.65269
0		0.01	1	0.451872	582	2	0.935	3.67475
0		0.01	1	0.4236	570	2	0.935	3.71937
0		0.01	1	0.447149	580	2	0.935	3.68214
0		0.01	1	0.475552	592	2	0.935	3.63808
0		0.01	1	0.480299	594	2	0.935	3.6308
0		0.01	1	0.508855	606	2	0.935	3.58757
0		0.01	1	0.53752	618	2	0.935	3.54509
0		0.01	1	0.619191	652	2	0.935	3.42891
0		0.01	1	0.633659	658	2	0.935	3.40906
0		0.01	1	0.628835	656	2	0.935	3.41565
0		0.01	1	0.648142	664	2	0.935	3.3894
0		0.01	1	0.566276	630	2	0.935	3.50337
0		0.01	1	0.590299	640	2	0.935	3.46919
0		0.01	1	0.628835	656	2	0.935	3.41565
0		0.01	1	0.602329	645	2	0.935	3.45231
0		0.01	1	0.58549	638	2	0.935	3.47598
0		0.01	1	0.547095	622	2	0.935	3.53109
0		0.01	1	0.504088	604	2	0.935	3.59473
0		0.01	1	0.513626	608	2	0.935	3.58044
0		0.01	1	0.48505	596	2	0.935	3.62355
0		0.01	1	0.489805	598	2	0.935	3.61631
0		0.01	1	0.494563	600	2	0.935	3.6091
0		0.01	1	0.513626	608	2	0.935	3.58044
0		0.01	1	0.421251	569	2	0.935	3.72311
0		0.01	1	0.416559	567	2	0.935	3.73062
0		0.01	1	0.390855	556	2	0.935	3.77219
0		0.01	1	0.367661	546	2	0.935	3.81036
0		0.01	1	0.335533	532	2	0.935	3.86427
0		0.01	1	0.319653	525	2	0.935	3.89137
0		0.01	1	0.358437	542	2	0.935	3.82571
0		0.01	1	0.367661	546	2	0.935	3.81036
0		0.01	1	0.317396	524	2	0.935	3.90061
0		0.01	1	0.273006	504	2	0.935	3.97795
0		0.01	1	0.222462	480	2	0.935	4.06931
0		0.01	1	0.264335	500	2	0.935	3.99922
0		0.01	1	0.251492	494	2	0.935	4.02214
0		0.01	1	0.257888	497	2	0.935	4.0107
0		0.01	1	0.202774	470	2	0.935	4.11149
0		0.01	1	0.264335	500	2	0.935	4.00363
0		0.01	1	0.277371	506	2	0.935	3.98067
0		0.01	1	0.281755	508	2	0.935	3.96858
0		0.01	1	0.3084	520	2	0.935	3.92227
0		0.01	1	0.3084	520	2	0.935	3.92227
0		0.01	1	0.344666	536	2	0.935	3.86057
0		0.01	1	0.418905	568	2	0.935	3.7389
0		0.01	1	0.372285	548	2	0.935	3.81458
0		0.01	1	0.402516	561	2	0.935	3.77106
0		0.01	1	0.376917	550	2	0.935	3.81273
0		0.01	1	0.365352	545	2	0.935	3.83179
0		0.01	1	0.349247	538	2	0.935	3.85859
0		0.01	1	0.372285	548	2	0.935	3.8264
0		0.01	1	0.326442	528	2	0.935	3.90295
0		0.01	1	0.275186	505	2	0.935	3.99123
0		0.01	1	0.279561	507	2	0.935	3.97874
0		0.01	1	0.262181	499	2	0.935	4.00938
0		0.01	1	0.247259	492	2	0.935	4.03599
0		0.01	1	0.224484	481	2	0.935	4.07721
0		0.01	1	0.268661	502	2	0.935	3.99791
0		0.01	1	0.230603	484	2	0.935	4.06605
0		0.01	1	0.200865	469	2	0.935	4.12091
0		0.01	1	0.226516	482	2	0.935	4.0735
0		0.01	1	0.303922	518	2	0.935	3.9364
0		0.01	1	0.317396	524	2	0.935	3.91328
0		0.01	1	0.356136	541	2	0.935	3.85267
0		0.01	1	0.330982	530	2	0.935	3.89482
0		0.01	1	0.349247	538	2	0.935	3.86415
0		0.01	1	0.363045	544	2	0.935	3.84121
0		0.01	1	0.365352	545	2	0.935	3.83206
0		0.01	1	0.388528	555	2	0.935	3.794
0		0.01	1	0.388528	555	2	0.935	3.794
0		0.01	1	0.388528	555	2	0.935	3.794
0		0.01	1	0.4236	570	2	0.935	3.74238
0		0.01	1	0.437715	576	2	0.935	3.72007
